County,Grand Total,Tier1 >220K,Tier1 >50K-90K,Tier1 >90K-220K,Tier1 Total,Tier2 >20K Condos,Tier2 >20K MF (5+),Tier2 >20K Other Residential,Tier2 >20K-50K,Tier2 Total
Adams,8,,1,2,3,,3,,2,5
Asotin,9,1,1,,2,,2,3,2,7
Benton,214,13,22,61,96,6,38,5,69,118
Chelan,67,3,3,14,20,,15,4,28,47
Clallam,48,,4,8,12,1,9,1,25,36
Clark,396,20,29,98,147,9,71,10,159,249
Columbia,7,,,1,1,,5,,1,6
Cowlitz,100,1,2,10,13,3,30,5,49,87
Douglas,13,1,1,,2,,1,6,4,11
Ferry,1,,1,,1,,,,,
Franklin,48,1,15,5,21,,14,,13,27
Garfield,1,,,,,,1,,,1
Grant,60,6,8,10,24,,11,1,23,36
Grays Harbor,28,,3,2,5,,6,2,15,23
Island,43,1,6,4,11,,7,1,24,32
Jefferson,22,,3,2,5,,6,,11,17
King,2823,280,554,542,1376,75,930,41,401,1447
Kitsap,218,6,17,51,74,5,14,,125,144
Kittitas,23,,2,11,13,,4,2,4,10
Klickitat,4,,,,,,2,1,1,4
Lewis,17,,2,2,4,,2,,11,13
Lincoln,6,,,,,,3,,3,6
Mason,31,,3,3,6,,3,5,17,25
Okanogan,23,1,2,2,5,,5,2,11,18
Pacific,6,,,,,,3,1,2,6
Pend Oreille,3,,,,,,,,3,3
Pierce,993,54,113,215,382,36,198,57,320,611
San Juan,8,,,1,1,,3,,4,7
Skagit,137,4,20,26,50,,25,3,59,87
Skamania,3,,1,,1,,1,,1,2
Snohomish,804,43,194,158,395,8,53,18,330,409
Spokane,537,36,65,118,219,11,110,15,182,318
Stevens,13,,,1,1,,2,1,9,12
Thurston,246,6,24,40,70,3,29,19,125,176
Wahkiakum,3,,,1,1,,,,2,2
Walla Walla,76,3,6,13,22,1,12,,41,54
Whatcom,299,9,27,60,96,2,67,3,131,203
Whitman,38,3,,,3,,29,,6,35
Yakima,147,5,4,32,41,3,43,1,59,106
