County,Building Count,Owner Count,Parcel Count
Adams,8,4,5
Asotin,9,4,4
Benton,214,108,162
Chelan,67,33,64
Clallam,48,20,47
Clark,396,220,304
Columbia,7,5,6
Cowlitz,100,51,107
Douglas,13,9,9
Ferry,1,1,1
Franklin,48,20,36
Garfield,1,1,1
Grant,60,33,44
Grays Harbor,28,16,21
Island,43,21,66
Jefferson,22,12,20
King,2823,1449,2508
Kitsap,218,101,176
Kittitas,23,10,15
Klickitat,4,4,4
Lewis,17,7,17
Lincoln,6,3,2
Mason,31,15,47
Okanogan,23,13,13
Pacific,6,5,5
Pend Oreille,3,3,3
Pierce,993,483,701
San Juan,8,4,10
Skagit,137,55,139
Skamania,3,1,3
Snohomish,804,366,734
Spokane,537,272,436
Stevens,13,6,12
Thurston,246,111,223
Wahkiakum,3,2,2
Walla Walla,76,33,58
Whatcom,299,120,290
Whitman,38,20,28
Yakima,147,73,145
